syllable,set,word
1,CURE,your
1,GOAT,home
1,DRESS,dress
2,coMMA,comma
2,haPPY,coffee
1,PRICE,try
1,START,start
1,FORCE,door
1,TRAP,bad
1,CURE,cure
1,KIT,ship
1,CHOICE,coin
1,FACE,day
1,KIT,kit
1,BATH,dance
1,MOUTH,mouth
1,CURE,sure
1,NURSE,term
1,PRICE,price
1,CHOICE,join
1,FLEECE,bleed
1,DRESS,wet
1,LOT,dot
1,NEAR,fear
1,STRUT,cup
1,TRAP,tap
1,FACE,bait
1,START,far
1,TRAP,cat
2,leTTER,letter
1,FOOT,put
1,NORTH,war
1,LOT,got
1,NURSE,hurt
1,NEAR,here
1,NORTH,north
1,CHOICE,choice
1,FACE,face
1,SQUARE,care
1,STRUT,trunk
1,MOUTH,out
2,coMMA,quota
1,SQUARE,air
1,NORTH,born
1,START,heart
1,PALM,spa
1,NORTH,storm
1,TRAP,trap
1,FOOT,foot
1,STRUT,strut
2,leTTER,butter
1,FLEECE,beat
1,FLEECE,speak
1,PRICE,hide
1,PRICE,buy
1,SQUARE,fair
1,THOUGHT,taught
1,THOUGHT,jaw
1,NURSE,nurse
1,THOUGHT,caught
1,LOT,lot
1,DRESS,step
1,NEAR,near
1,GOOSE,tooth
1,LOT,stop
1,PALM,psalm
2,leTTER,paper
1,KIT,sit
1,FLEECE,feel
1,GOOSE,goose
1,NURSE,work
1,FOOT,book
1,CHOICE,boy
1,GOAT,boat
1,CLOTH,boss
2,coMMA,sofa
1,FORCE,force
1,GOAT,know
2,haPPY,city
1,NEAR,beer
1,MOUTH,cow
1,PALM,palm
1,CLOTH,cloth
1,FLEECE,bleed
1,CLOTH,cross
2,haPPY,happy
1,GOOSE,food
1,DRESS,bed
1,FLEECE,fleece
1,GOAT,goat
1,THOUGHT,thought
1,BATH,bath
1,SQUARE,square
1,BATH,path
1,CURE,pure
1,FOOT,good
1,KIT,bit
1,FORCE,porch
1,PALM,calm
